,Codigo,Nombre,Departamento,Municipio
4121,47015090,PRIMAVERA LA [47015090],Putumayo,Sibundoy
4122,47010170,VICHOY [47010170],Putumayo,Colon
4123,47017040,COLON [47017040],Putumayo,Mocoa
4124,47015010,MENTA LA [4701501],Putumayo,Sibundoy
4125,47015030,SIBUNDOY [47015030],Putumayo,Sibundoy
4126,44015020,PORVENIR [44015020],Putumayo,San Francisco
4127,44015050,MOCOA [44015050],Putumayo,Mocoa
4128,44010010,MOCOA [44010010],Putumayo,Mocoa
4129,47017140,PUENTE CANAL D [47017140],Putumayo,Colon
4130,52055080,COBENAS [52055080],Nariño,Pasto
4131,47017050,SIBUNDOY [4701705],Putumayo,San Francisco
4132,44017010,PIEDRA LISA [44017010],Putumayo,Mocoa
4133,21037080,GUACHARO EL [21037080],Huila,Acevedo
4134,44010150,CHONTILLAL [44010150],Cauca,Santa Rosa
4135,52070040,NORTES LOS ,Nariño,Cumbitara
4136,52020120,MERCADERES [52020120],Cauca,Mercaderes
4137,46037030,ALTO LA ESMERALDA [46037030],Caquetá,Puerto Rico
4138,52020110,BOLIVAR BOQUERON [52020110],Cauca,Bolivar
4139,52040110,PASANTO [5204011],Nariño,Pasto
4140,52045060,VIVERO CORFONAR [52045060],Nariño,Pasto
4141,52055110,CHIMAYOY [52055110],Nariño,Pasto
4142,52057020,ANCUYA [5205702],Nariño,Consaca
4143,42065010,AEROPUERTO MITU [42065010],Vaupes,Mitu
4144,44017080,DIVISO EL [44017080],Cauca,Santa Rosa
4145,21030040,ACEVEDO ICEL [21030040],Huila,Acevedo
4146,21035020,RESINA [21035020],Huila,Guadalupe
4147,44040010,SAN JOSE DE FRAGUA [44040010],Caquetá,San Jose Del Fragua
4148,46037050,PATIO BONITO [4603705]0,Caquetá,Puerto Rico
4149,21047020,ESPINAL EL [21047020],Huila,Oporapa
4150,52055100,VILLA ROSA [5205510],Nariño,Sapuyes
4151,44037070,BOCATOMA N 1 [44037070],Caquetá,El Paujil
4152,47097010,BICARCO [47097010],Amazonas,Tarapaca
4153,11045010,AEROPUERTO EL CARANO [11045010],Chocó,Quibdo
4154,54020020,NOVITA [54020020],Chocó,Novita
4155,13070020,MOMIL [13070020],Córdoba,Momil
4156,13077020,MOMIL [13070520],Córdoba,Momil
4157,27011270,LAURELES,Antioquia,Medellin
4158,11077010,BELLAVISTA  [11077010],Chocó,Bojaya
4159,24037360,EL JORDAN [24037360],Santander,Los Santos
4160,24017590,PUENTE NACIONAL ,Santander,Puente Nacional
4161,11050020,BETE [1105002],Chocó,Medio Atrato
4162,21077020,PASO DEL COLEGIO [21077020],Huila,Gigante
4163,11010010,VUELTA LA [11010010],Chocó,Certegui
4164,32157010,MAPIRIPANA [32157010],Guaviare,San Jose Del Guaviare
4165,56010040,NUQUI [56010040],Chocó,Nuqui
4166,54025010,SAN JOSE PALMAR [54025010],Chocó,San Jose Del Palmar
4167,35027220,LLANO LARGO,Cundinamarca,Chipaque
4168,23060140,TUSCOLO EL [23060140],Cundinamarca,Guaduas
4169,21202160,HIDROPARAISO [21202160],Cundinamarca,El Colegio
4170,54010010,ISTMINA [54010010],Chocó,Istmina
4171,21209200,LA CAMPINA ,Cundinamarca,Girardot
4172,23067070,VILLETA ,Cundinamarca,Villeta
4173,28025502,AEROPUERTO ALFONSO LOPEZ ,Cesar,Valledupar
4174,37017040,PUENTE LOPEZ ,Norte de Santander,Chitaga
4175,11120040,RIOSUCIO [11120040],Chocó,Riosucio
4176,23197700,MAJADAS ,Santander,Bucaramanga
4177,21010210,MONTECRISTO [21010210],Huila,Pitalito
4178,52017001,PUERTO NUEVO PATIA ,Nariño,Leiva
4179,4801700101,PUERTO TRIUNFO [4801700101],Amazonas,Leticia
4180,4801700102,VALENCIA [4801700102],Amazonas,Puerto Narino
4181,3206500058,LEJANÍAS ,Meta,Lejanias
4182,3206500059,VISTA HERMOSA ,Meta,Vistahermosa
4183,55015020,BAJO BAUDO ,Chocó,Bajo Baudo
4184,16027280,ASTILLEROS ,Norte de Santander,Cucuta
4185,1602500063,MUTISCUA ,Norte de Santander,Mutiscua
4186,2302500064,MANZANARES ,Caldas,Manzanares
4187,2319500065,GRANJA PIEDECUESTA ,Santander,Piedecuesta
4188,2601700104,MOLINOS ,Cauca,Popayan
4189,2618500069,SONSÓN ,Antioquia,Sonson
4190,2621500070,ITUANGO ,Antioquia,Ituango
4191,2308500071,RETIRO ,Antioquia,Retiro
4192,2319700105,ANGOSTURAS ,Santander,Rionegro
4193,2901500072,HOBO ,Bolívar,El Carmen De Bolivar
4194,1303500073,SAHAGÚN ,Córdoba,Sahagun
4195,1303500074,LOMA VERDE ,Córdoba,Monteria
4196,2805500075,CURUMANÍ ,Cesar,Curumani
4197,2801500078,HATICO DE LOS INDIOS ,La Guajira,San Juan Del Cesar
4198,2401500080,PANELAS ,Boyacá,Motavita
4199,2403500081,SOTAQUIRÁ ,Boyacá,Sotaquira
4200,2403500082,SIACHOQUE ,Boyacá,Siachoque
4201,2403500084,MONGUA ,Boyacá,Mongua
4202,3508700103,PUENTE CAMPANA ,Boyacá,Santa Maria
4203,56015040,JURADO ,Chocó,Jurado
4204,11035030,UNION PANAMERICANA ,Chocó,Union Panamericana
4205,2401500086,UNIVERSIDAD PEDAGÓGICA Y TECNOLÓGICA DE COLOMBIA TUNJA ,Boyacá,Tunja
4206,1506700109,BRUNO SECO,La Guajira,Maicao
4207,3503500062,EL CALVARIO ,Meta,El Calvario
4208,11175000,ATRATO ,Chocó,Certegui
4209,54027050,RIO IRO ,Chocó,Rio Iro
4210,54037050,SIPI ,Chocó,Sipi
4211,54057020,LITORAL SAN JUAN ,Valle del Cauca,Trujillo
4212,1602500115,CINERA ,Norte de Santander,Cucuta
4213,12015100,PISTA INDIRA ,Antioquia,Turbo
4214,11080010,BELLAVISTA [11080010],Chocó,Bojaya
4215,14010040,BUENAVISTA [14010040],Atlantico,Piojo
4216,16027220,FLORESTA ALTO [16027220],Norte de Santander,Cucuta
4217,16055100,UNIVERSIDAD FRANCISCO DE PAULA SANTANDER [16055100],Norte de Santander,Ocana
4218,21080120,BUENAVISTA HACIENDA [21080120],Huila,Tesalia
4219,23190330,BUENAVISTA [23190330],Santander,Piedecuesta
4220,23195040,UNIVERSIDAD INDUSTRIAL SANTANDER [23195040],Santander,Bucaramanga
4221,25020520,BUENAVISTA ,Córdoba,Buenavista
4222,29030400,BELLAVISTA [29030400],Atlantico,Repelon
4223,27027280,BOCATOMA TC 14  [27027280],Antioquia,Yarumal
4224,1506700136,BRUNO I  [1506700136],La Guajira,Maicao
4225,1506700138,BRUNO III  [1506700138],La Guajira,Albania
4226,1506700139,BRUNO IV  [1506700139],La Guajira,Albania
4227,1506700140,BRUNO V  [1506700140],La Guajira,Albania
4228,1506700141,BRUNO VI  [1506700141],La Guajira,Albania
4229,1506700142,BRUNO VII  [1506700142],La Guajira,Albania
4230,1506700134,CRUCE I  [1506700134],La Guajira,Hato Nuevo
4231,1506700144,PUPUREMA I  [1506700144],La Guajira,Albania
4232,1506700143,PUPUREMA II  [1506700143],La Guajira,Albania
4233,1506700137,BRUNO II  [1506700137],La Guajira,Albania
4234,1506700133,TAJO ANEX  [1506700133],La Guajira,Barrancas
4235,3502500006,MORICHAL   [3502500006],Meta,San Carlos De Guaroa
4236,2502500007,LOS CAIMANES  [2502500007],Córdoba,Buenavista
4237,2125500032,MARIQUITA  [2125500032],Tolima,Mariquita
4238,1111500036,ABRIAQUI ,Antioquia,Abriaqui
4239,2302500037,BRASIL ,Caldas,Marulanda
4240,3507500046,GRANJA GUAYATA ,Boyacá,Guayata
4241,2301700089,GUALÍ ALERTAS ,Tolima,Fresno
4242,2120500050,PARAMO ALTO ,Cundinamarca,Cogua
4243,2202500051,PLANADAS ,Tolima,Planadas
4244,5204700093,PUENTE LOS DOLORES ,Nariño,Pasto
4245,27010700,HAITON  [27010700],Antioquia,Santa Rosa De Osos
4246,1508500053,PUERTO ESTRELLA ,La Guajira,Uribia
4247,1501500054,SAN ISIDRO BONDA ,Magdalena,Santa Marta
4248,4403700097,SUCRE ,Caquetá,Florencia
4249,2612500038,CRQ ARMENIA ,Quindío,Circasia
4250,2801700088,CHEMESQUEMENA ,Cesar,Valledupar
4251,2604500039,CORINTO ,Cauca,Corinto
4252,2403500041,DUITAMA ,Boyacá,Paipa
